Month,PM25_Mean,PM10_Mean,O3_Mean
2013-03,104.57190860215054,130.2498319892473,56.34342056451613
2013-04,62.20729166666667,95.93151041666667,62.01999074497515
2013-05,81.87651209677419,134.40846214157705,87.33540225844698
2013-06,101.54224232456141,115.85954556530214,74.3269064988426
2013-07,66.83966468590832,76.42411809092624,78.58395126008065
2013-08,60.588373655913976,77.4613015232975,82.12858054435483
2013-09,76.14030408249158,96.40286195286195,47.8680480371251
2013-10,91.7653195259042,112.67504174812642,27.94154367963028
2013-11,73.82100694444445,96.24467592592593,23.81561140287423
2013-12,78.15989023297492,96.06698028673836,21.673962798685782
2014-01,98.3900649641577,123.64510528673836,21.74762801299283
2014-02,153.80877976190476,156.6819816468254,27.186073908730158
2014-03,95.22743055555556,136.20564516129033,47.22323028673835
2014-04,91.82523148148148,144.12430555555557,70.26440972222223
2014-05,62.17731499535507,116.99372101245814,90.16505153196343
2014-06,54.43557080109606,74.03731004638585,100.52796526882298
2014-07,89.14814068100358,109.78406698028674,102.93578068996416
2014-08,63.15761648745519,85.45461469534051,96.87113015232974
2014-09,66.25087962962962,90.31604166666666,57.02501157407407
2014-10,119.37572804659499,146.50554435483872,27.684419802867385
2014-11,87.27999421296296,125.51697916666666,22.656487268518518
2014-12,58.22188993428913,95.37169765531661,28.165371117084824
2015-01,96.12271132019116,113.71953778375149,23.60397812126643
2015-02,93.0781994047619,120.78349454365079,39.082403273809526
2015-03,86.38412298387097,146.0162522401434,50.68597670250897
2015-04,71.83956018518519,115.07843171296297,77.11098958333332
2015-05,55.72750336021505,95.61705869175627,96.67916666666666
2015-06,60.66841435185185,80.5243287037037,95.0216550925926
2015-07,60.95150089605735,75.41244399641577,102.6004144265233
2015-08,44.30370743727599,64.86245519713262,94.05045922939068
2015-09,48.758217592592594,63.24774305555555,59.58246527777778
2015-10,70.13272849462365,89.31714829749104,39.52564964157706
2015-11,114.75746527777778,120.25162037037038,14.555381944444445
2015-12,149.6017585125448,159.54161066308242,17.32448476702509
2016-01,66.79961917562724,82.52867383512545,30.17747535842294
2016-02,42.82195881226053,57.13380028735632,48.60793821839081
2016-03,92.19371639784946,134.40193772401435,48.741263440860216
2016-04,67.59652777777778,114.08564814814815,71.46898148148148
2016-05,54.38326239545997,86.90236335125448,95.86446012544803
2016-06,58.70396219135802,76.03353009259258,109.54069444444444
2016-07,68.66515456989248,77.18061155913979,101.1983646953405
2016-08,45.81221998207885,58.079469086021504,78.49417562724014
2016-09,53.97488425925926,67.96087962962963,55.18055555555556
2016-10,85.58966173835125,100.6975806451613,23.772905465949822
2016-11,97.43738425925926,130.32494212962962,16.73865740740741
2016-12,128.73319892473117,149.56737231182797,17.869007616487455
2017-01,113.72983870967742,133.71768593189964,33.97267025089606
2017-02,68.8014632936508,85.59709821428571,46.57539682539682
